Benchmark,(size),Mode,Cnt,Score,Error,Units
BenchmarkMatrix.testStrassen:·gc.alloc.rate.norm,1500,avgt,5,99771933758.400,±,3569939.800,B/op
BenchmarkMatrix.testStrassen:·gc.churn.CodeHeap_'non-profiled_nmethods',1500,avgt,5,≈,10⁻⁴,MB/sec
BenchmarkMatrix.testStrassen:·gc.churn.CodeHeap_'non-profiled_nmethods'.norm,1500,avgt,5,14259.200,±,87157.724,B/op
BenchmarkMatrix.testStrassen:·gc.churn.CodeHeap_'profiled_nmethods',1500,avgt,5,0.001,±,0.004,MB/sec
BenchmarkMatrix.testStrassen:·gc.churn.CodeHeap_'profiled_nmethods'.norm,1500,avgt,5,115328.000,±,927243.106,B/op
BenchmarkMatrix.testStrassen:·gc.churn.Compressed_Class_Space,1500,avgt,5,≈,10⁻⁶,MB/sec
BenchmarkMatrix.testStrassen:·gc.churn.Compressed_Class_Space.norm,1500,avgt,5,102.400,±,881.695,B/op
BenchmarkMatrix.testStrassen:·gc.churn.G1_Eden_Space,1500,avgt,5,442.115,±,356.709,MB/sec
BenchmarkMatrix.testStrassen:·gc.churn.G1_Eden_Space.norm,1500,avgt,5,99938520268.800,±,879839111.875,B/op
BenchmarkMatrix.testStrassen:·gc.churn.G1_Old_Gen,1500,avgt,5,0.981,±,3.659,MB/sec
BenchmarkMatrix.testStrassen:·gc.churn.G1_Old_Gen.norm,1500,avgt,5,228051464.000,±,913927036.832,B/op
BenchmarkMatrix.testStrassen:·gc.churn.G1_Survivor_Space,1500,avgt,5,1.013,±,1.198,MB/sec
BenchmarkMatrix.testStrassen:·gc.churn.G1_Survivor_Space.norm,1500,avgt,5,225380313.600,±,104787877.088,B/op
BenchmarkMatrix.testStrassen:·gc.churn.Metaspace,1500,avgt,5,≈,10⁻⁶,MB/sec
BenchmarkMatrix.testStrassen:·gc.churn.Metaspace.norm,1500,avgt,5,337.600,±,2906.838,B/op
BenchmarkMatrix.testStrassen:·gc.count,1500,avgt,5,933.000,counts
BenchmarkMatrix.testStrassen:·gc.time,1500,avgt,5,2886.000,ms
BenchmarkMatrix.testStrassen:·stack,1500,avgt,NaN,---
