Benchmark,(nThreads),(size),Mode,Cnt,Score,Error
BenchmarkThreads.testThreads:·gc.alloc.rate.norm,4,256,avgt,5,561901.809,±
BenchmarkThreads.testThreads:·gc.churn.G1_Eden_Space,4,256,avgt,5,636.367,±
BenchmarkThreads.testThreads:·gc.churn.G1_Eden_Space.norm,4,256,avgt,5,4165401.900,±
BenchmarkThreads.testThreads:·gc.churn.G1_Survivor_Space,4,256,avgt,5,0.136,±
BenchmarkThreads.testThreads:·gc.churn.G1_Survivor_Space.norm,4,256,avgt,5,891.919,±
BenchmarkThreads.testThreads:·gc.count,4,256,avgt,5,113.000,counts
BenchmarkThreads.testThreads:·gc.time,4,256,avgt,5,124.000,ms
BenchmarkThreads.testThreads:·stack,4,256,avgt,NaN,---
BenchmarkThreads.testThreads,4,512,avgt,5,36.925,±
BenchmarkThreads.testThreads:·gc.alloc.rate,4,512,avgt,5,53.471,±
BenchmarkThreads.testThreads:·gc.alloc.rate.norm,4,512,avgt,5,2168636.694,±
BenchmarkThreads.testThreads:·gc.churn.G1_Eden_Space,4,512,avgt,5,112.546,±
BenchmarkThreads.testThreads:·gc.churn.G1_Eden_Space.norm,4,512,avgt,5,4547098.464,±
BenchmarkThreads.testThreads:·gc.churn.G1_Survivor_Space,4,512,avgt,5,0.003,±
BenchmarkThreads.testThreads:·gc.churn.G1_Survivor_Space.norm,4,512,avgt,5,111.127,±
BenchmarkThreads.testThreads:·gc.count,4,512,avgt,5,20.000,counts
BenchmarkThreads.testThreads:·gc.time,4,512,avgt,5,29.000,ms
BenchmarkThreads.testThreads:·stack,4,512,avgt,NaN,---
BenchmarkThreads.testThreads,8,64,avgt,5,0.923,±
BenchmarkThreads.testThreads:·gc.alloc.rate,8,64,avgt,5,46.341,±
BenchmarkThreads.testThreads:·gc.alloc.rate.norm,8,64,avgt,5,47116.668,±
BenchmarkThreads.testThreads:·gc.churn.G1_Eden_Space,8,64,avgt,5,10173.119,±
BenchmarkThreads.testThreads:·gc.churn.G1_Eden_Space.norm,8,64,avgt,5,10343211.835,±
BenchmarkThreads.testThreads:·gc.churn.G1_Survivor_Space,8,64,avgt,5,0.030,±
BenchmarkThreads.testThreads:·gc.churn.G1_Survivor_Space.norm,8,64,avgt,5,30.164,±
BenchmarkThreads.testThreads:·gc.count,8,64,avgt,5,608.000,counts
BenchmarkThreads.testThreads:·gc.time,8,64,avgt,5,622.000,ms
BenchmarkThreads.testThreads:·stack,8,64,avgt,NaN,---
BenchmarkThreads.testThreads,8,128,avgt,5,1.718,±
BenchmarkThreads.testThreads:·gc.alloc.rate,8,128,avgt,5,81.469,±
BenchmarkThreads.testThreads:·gc.alloc.rate.norm,8,128,avgt,5,153933.548,±
BenchmarkThreads.testThreads:·gc.churn.G1_Eden_Space,8,128,avgt,5,5470.485,±
BenchmarkThreads.testThreads:·gc.churn.G1_Eden_Space.norm,8,128,avgt,5,10343891.195,±
BenchmarkThreads.testThreads:·gc.churn.G1_Survivor_Space,8,128,avgt,5,0.053,±
BenchmarkThreads.testThreads:·gc.churn.G1_Survivor_Space.norm,8,128,avgt,5,101.258,±
BenchmarkThreads.testThreads:·gc.count,8,128,avgt,5,383.000,counts
BenchmarkThreads.testThreads:·gc.time,8,128,avgt,5,495.000,ms
BenchmarkThreads.testThreads:·stack,8,128,avgt,NaN,---
BenchmarkThreads.testThreads,8,256,avgt,5,5.503,±
BenchmarkThreads.testThreads:·gc.alloc.rate,8,256,avgt,5,93.128,±
BenchmarkThreads.testThreads:·gc.alloc.rate.norm,8,256,avgt,5,564314.333,±
BenchmarkThreads.testThreads:·gc.churn.G1_Eden_Space,8,256,avgt,5,1246.991,±
BenchmarkThreads.testThreads:·gc.churn.G1_Eden_Space.norm,8,256,avgt,5,7556239.811,±
BenchmarkThreads.testThreads:·gc.churn.G1_Survivor_Space,8,256,avgt,5,0.253,±
BenchmarkThreads.testThreads:·gc.churn.G1_Survivor_Space.norm,8,256,avgt,5,1532.482,±
BenchmarkThreads.testThreads:·gc.count,8,256,avgt,5,222.000,counts
BenchmarkThreads.testThreads:·gc.time,8,256,avgt,5,328.000,ms
BenchmarkThreads.testThreads:·stack,8,256,avgt,NaN,---
BenchmarkThreads.testThreads,8,512,avgt,5,39.384,±
BenchmarkThreads.testThreads:·gc.alloc.rate,8,512,avgt,5,53.236,±
BenchmarkThreads.testThreads:·gc.alloc.rate.norm,8,512,avgt,5,2171237.506,±
BenchmarkThreads.testThreads:·gc.churn.G1_Eden_Space,8,512,avgt,5,235.377,±
BenchmarkThreads.testThreads:·gc.churn.G1_Eden_Space.norm,8,512,avgt,5,9582742.658,±
BenchmarkThreads.testThreads:·gc.churn.G1_Survivor_Space,8,512,avgt,5,0.057,±
BenchmarkThreads.testThreads:·gc.churn.G1_Survivor_Space.norm,8,512,avgt,5,2215.007,±
BenchmarkThreads.testThreads:·gc.count,8,512,avgt,5,42.000,counts
BenchmarkThreads.testThreads:·gc.time,8,512,avgt,5,91.000,ms
BenchmarkThreads.testThreads:·stack,8,512,avgt,NaN,---
BenchmarkThreads.testThreads,16,64,avgt,5,1.804,±
BenchmarkThreads.testThreads:·gc.alloc.rate,16,64,avgt,5,26.308,±
BenchmarkThreads.testThreads:·gc.alloc.rate.norm,16,64,avgt,5,51869.819,±
BenchmarkThreads.testThreads:·gc.churn.G1_Eden_Space,16,64,avgt,5,9158.761,±
BenchmarkThreads.testThreads:·gc.churn.G1_Eden_Space.norm,16,64,avgt,5,18055271.113,±
BenchmarkThreads.testThreads:·gc.churn.G1_Survivor_Space,16,64,avgt,5,0.034,±
BenchmarkThreads.testThreads:·gc.churn.G1_Survivor_Space.norm,16,64,avgt,5,67.168,±
BenchmarkThreads.testThreads:·gc.count,16,64,avgt,5,658.000,counts
BenchmarkThreads.testThreads:·gc.time,16,64,avgt,5,698.000,ms
BenchmarkThreads.testThreads:·stack,16,64,avgt,NaN,---
BenchmarkThreads.testThreads,16,128,avgt,5,2.656,±
BenchmarkThreads.testThreads:·gc.alloc.rate,16,128,avgt,5,54.242,±
BenchmarkThreads.testThreads:·gc.alloc.rate.norm,16,128,avgt,5,158644.187,±
BenchmarkThreads.testThreads:·gc.churn.G1_Eden_Space,16,128,avgt,5,5596.915,±
BenchmarkThreads.testThreads:·gc.churn.G1_Eden_Space.norm,16,128,avgt,5,16368598.495,±
BenchmarkThreads.testThreads:·gc.churn.G1_Survivor_Space,16,128,avgt,5,0.066,±
BenchmarkThreads.testThreads:·gc.churn.G1_Survivor_Space.norm,16,128,avgt,5,191.815,±
BenchmarkThreads.testThreads:·gc.count,16,128,avgt,5,463.000,counts
BenchmarkThreads.testThreads:·gc.time,16,128,avgt,5,567.000,ms
BenchmarkThreads.testThreads:·stack,16,128,avgt,NaN,---
BenchmarkThreads.testThreads,16,256,avgt,5,6.531,±
BenchmarkThreads.testThreads:·gc.alloc.rate,16,256,avgt,5,79.138,±
BenchmarkThreads.testThreads:·gc.alloc.rate.norm,16,256,avgt,5,569078.239,±
BenchmarkThreads.testThreads:·gc.churn.G1_Eden_Space,16,256,avgt,5,1569.061,±
BenchmarkThreads.testThreads:·gc.churn.G1_Eden_Space.norm,16,256,avgt,5,11286283.438,±
BenchmarkThreads.testThreads:·gc.churn.G1_Survivor_Space,16,256,avgt,5,0.234,±
BenchmarkThreads.testThreads:·gc.churn.G1_Survivor_Space.norm,16,256,avgt,5,1681.971,±
BenchmarkThreads.testThreads:·gc.count,16,256,avgt,5,279.000,counts
BenchmarkThreads.testThreads:·gc.time,16,256,avgt,5,371.000,ms
BenchmarkThreads.testThreads:·stack,16,256,avgt,NaN,---
BenchmarkThreads.testThreads,16,512,avgt,5,38.648,±
BenchmarkThreads.testThreads:·gc.alloc.rate,16,512,avgt,5,51.128,±
BenchmarkThreads.testThreads:·gc.alloc.rate.norm,16,512,avgt,5,2176033.601,±
BenchmarkThreads.testThreads:·gc.churn.G1_Eden_Space,16,512,avgt,5,314.192,±
BenchmarkThreads.testThreads:·gc.churn.G1_Eden_Space.norm,16,512,avgt,5,13372376.060,±
BenchmarkThreads.testThreads:·gc.churn.G1_Survivor_Space,16,512,avgt,5,0.202,±
BenchmarkThreads.testThreads:·gc.churn.G1_Survivor_Space.norm,16,512,avgt,5,8576.539,±
BenchmarkThreads.testThreads:·gc.count,16,512,avgt,5,56.000,counts
BenchmarkThreads.testThreads:·gc.time,16,512,avgt,5,155.000,ms
BenchmarkThreads.testThreads:·stack,16,512,avgt,NaN,---
BenchmarkThreads.testThreads,24,64,avgt,5,2.772,±
BenchmarkThreads.testThreads:·gc.alloc.rate,24,64,avgt,5,18.463,±
BenchmarkThreads.testThreads:·gc.alloc.rate.norm,24,64,avgt,5,56315.065,±
BenchmarkThreads.testThreads:·gc.churn.G1_Eden_Space,24,64,avgt,5,6391.074,±
BenchmarkThreads.testThreads:·gc.churn.G1_Eden_Space.norm,24,64,avgt,5,19504147.104,±
BenchmarkThreads.testThreads:·gc.churn.G1_Survivor_Space,24,64,avgt,5,0.024,±
BenchmarkThreads.testThreads:·gc.churn.G1_Survivor_Space.norm,24,64,avgt,5,73.421,±
BenchmarkThreads.testThreads:·gc.count,24,64,avgt,5,503.000,counts
BenchmarkThreads.testThreads:·gc.time,24,64,avgt,5,569.000,ms
BenchmarkThreads.testThreads:·stack,24,64,avgt,NaN,---
BenchmarkThreads.testThreads,24,128,avgt,5,4.111,±
BenchmarkThreads.testThreads:·gc.alloc.rate,24,128,avgt,5,37.086,±
BenchmarkThreads.testThreads:·gc.alloc.rate.norm,24,128,avgt,5,163108.249,±
BenchmarkThreads.testThreads:·gc.churn.G1_Eden_Space,24,128,avgt,5,5200.960,±
BenchmarkThreads.testThreads:·gc.churn.G1_Eden_Space.norm,24,128,avgt,5,22995295.570,±
BenchmarkThreads.testThreads:·gc.churn.G1_Survivor_Space,24,128,avgt,5,0.047,±
BenchmarkThreads.testThreads:·gc.churn.G1_Survivor_Space.norm,24,128,avgt,5,206.993,±
BenchmarkThreads.testThreads:·gc.count,24,128,avgt,5,337.000,counts
BenchmarkThreads.testThreads:·gc.time,24,128,avgt,5,484.000,ms
BenchmarkThreads.testThreads:·stack,24,128,avgt,NaN,---
BenchmarkThreads.testThreads,24,256,avgt,5,7.826,±
BenchmarkThreads.testThreads:·gc.alloc.rate,24,256,avgt,5,66.629,±
BenchmarkThreads.testThreads:·gc.alloc.rate.norm,24,256,avgt,5,573382.414,±
BenchmarkThreads.testThreads:·gc.churn.G1_Eden_Space,24,256,avgt,5,2189.630,±
BenchmarkThreads.testThreads:·gc.churn.G1_Eden_Space.norm,24,256,avgt,5,18855003.541,±
BenchmarkThreads.testThreads:·gc.churn.G1_Survivor_Space,24,256,avgt,5,0.078,±
BenchmarkThreads.testThreads:·gc.churn.G1_Survivor_Space.norm,24,256,avgt,5,671.867,±
BenchmarkThreads.testThreads:·gc.count,24,256,avgt,5,215.000,counts
BenchmarkThreads.testThreads:·gc.time,24,256,avgt,5,326.000,ms
BenchmarkThreads.testThreads:·stack,24,256,avgt,NaN,---
BenchmarkThreads.testThreads,24,512,avgt,5,49.700,±
BenchmarkThreads.testThreads:·gc.alloc.rate,24,512,avgt,5,39.995,±
BenchmarkThreads.testThreads:·gc.alloc.rate.norm,24,512,avgt,5,2180574.466,±
BenchmarkThreads.testThreads:·gc.churn.G1_Eden_Space,24,512,avgt,5,285.272,±
BenchmarkThreads.testThreads:·gc.churn.G1_Eden_Space.norm,24,512,avgt,5,15604285.567,±
BenchmarkThreads.testThreads:·gc.churn.G1_Survivor_Space,24,512,avgt,5,0.210,±
BenchmarkThreads.testThreads:·gc.churn.G1_Survivor_Space.norm,24,512,avgt,5,11613.691,±
BenchmarkThreads.testThreads:·gc.count,24,512,avgt,5,51.000,counts
BenchmarkThreads.testThreads:·gc.time,24,512,avgt,5,141.000,ms
BenchmarkThreads.testThreads:·stack,24,512,avgt,NaN,---
